givenVideo,comparedVideo,distance
--DwgB78t-c,5sM0GzAKLe0,4
--DwgB78t-c,0diSYUY7Rgg,4
--DwgB78t-c,QQhRzU7p35w,4
--DwgB78t-c,Z6uydCEDqZE,4
--DwgB78t-c,7Ygh-SmccCc,4
--DwgB78t-c,R2SKhg3_LsE,4
--DwgB78t-c,53CSShuR4mQ,5
--DwgB78t-c,Y9Q8VTjz_Q8,5
--DwgB78t-c,TpiNrQpNHEM,5
--DwgB78t-c,UKNe7jztWgs,5
--DwgB78t-c,0LKIHaOLNnc,5
--DwgB78t-c,TwoDE068x-E,5
--DwgB78t-c,3fSMVQiHe78,5
--DwgB78t-c,85D4jbNw-8M,5
--DwgB78t-c,36ysR6qOGow,5
--DwgB78t-c,YPH9RqAy2os,5
--DwgB78t-c,34OxT8hY1eM,5
--DwgB78t-c,Y98uA-DBkHU,5
--DwgB78t-c,81jRVzDiA88,5
--DwgB78t-c,2lG8ixYaGoc,5
--DwgB78t-c,7bzLRsiidDU,5
--DwgB78t-c,6PlgrZl8cug,5
--DwgB78t-c,6Yr1mA5kK5o,5
--DwgB78t-c,1tHf2s72ImE,5
--DwgB78t-c,0_LHhWBTqWs,5
--DwgB78t-c,14KBPFgI7DI,5
--DwgB78t-c,XpXUzP5epaU,5
--DwgB78t-c,4xTT-nCASDA,5
--DwgB78t-c,7bH4BLv6I4k,5
--DwgB78t-c,14u-IKfRVf0,5
--DwgB78t-c,7xz7F_WT5ac,5
--DwgB78t-c,-2laPiVk6kg,5
--DwgB78t-c,-lIAchXkgMs,5
--DwgB78t-c,14Q0N4t7L3w,5
--DwgB78t-c,UvtMn5JANwo,5
--DwgB78t-c,2TafCiccLdc,5
--DwgB78t-c,73P4_qpaOGY,5
--DwgB78t-c,0M3tfSWOTqQ,5
--DwgB78t-c,7mjvLJNcViE,5
--DwgB78t-c,YPH9RqAy2os,5
--DwgB78t-c,6POS1M8F17s,5
--DwgB78t-c,Y98uA-DBkHU,5
--DwgB78t-c,7lCrY_xdFYE,5
--DwgB78t-c,2lKO8Ym81F4,5
--DwgB78t-c,Y9H_awScxHw,5
--DwgB78t-c,Y9Jx7Hw1evY,5
--DwgB78t-c,7kzp0rNweoo,5
--DwgB78t-c,1sTkJebtzp4,5
--DwgB78t-c,trNfE8Ae4Cs,5
--DwgB78t-c,2lwUpHxcpqE,5
--DwgB78t-c,3zIZKZxjb-I,5
--DwgB78t-c,4Uf7aMnE2gc,5
--DwgB78t-c,Y9H_awScxHw,5
--DwgB78t-c,Y9Jx7Hw1evY,5
--DwgB78t-c,0PwIoIr4yx8,5
--DwgB78t-c,3b8hYjFI4xY,5
--DwgB78t-c,51XK4Cv3-UA,5
--DwgB78t-c,Y9Q8VTjz_Q8,5
--DwgB78t-c,-1_WGC-Hqts,5
--DwgB78t-c,2XKTg-45BYA,5
--DwgB78t-c,11YL9EdwOGY,5
--DwgB78t-c,70GFac-XYyc,5
--DwgB78t-c,6U_7XJKRI2s,5
--DwgB78t-c,Xzbyt2dZUcs,5
--DwgB78t-c,7foVp3dvPiw,5
--DwgB78t-c,70kaXWAs-AU,5
--DwgB78t-c,1dNi3m5XEdw,5
--DwgB78t-c,4_on4VMDxVI,5
--DwgB78t-c,1dgHuWMLsg0,5
--DwgB78t-c,4TMScqsuP7Y,5
--DwgB78t-c,5-n4G9Xeryk,5
--DwgB78t-c,36b7Y5ylbEI,5
--DwgB78t-c,XaEgHx_GXN8,5
--DwgB78t-c,Xaj2c8QirzI,5
--DwgB78t-c,YbvtxnmHwt8,5
--DwgB78t-c,Z0YEO-HSwDo,5
--DwgB78t-c,5-4sjaJ5RtA,5
--DwgB78t-c,1dlBUQ_bftE,5
--DwgB78t-c,34pfjlztO6Q,5
--DwgB78t-c,Y2EswfPs2Sg,5
--DwgB78t-c,YbvtxnmHwt8,5
--DwgB78t-c,3vJSVAgiYko,5
--DwgB78t-c,7IEYxT9K0pM,5
--DwgB78t-c,Y5cgJFU9m3s,5
--DwgB78t-c,2VIAN7qEyyw,5
--DwgB78t-c,2sfDKRjJxDw,5
--DwgB78t-c,74zPIQrqiC8,5
--DwgB78t-c,84XvBFoH118,5
--DwgB78t-c,Y5cgJFU9m3s,5
--DwgB78t-c,2_Qk8qzaGV8,5
--DwgB78t-c,6TimkqetC4g,5
--DwgB78t-c,Y9MqfaKTlqM,5
